,CD79a,FOXP3,CDX2,CD8,p53,GATA3,CD21,PD-L1,Ki67,CD45,CD30,PAX5,HLA-DR,CD5,CD2,CD45RA,CD4,PD-1,MUC-1,BCL2,CD56,Cytokeratin7,CD25,VISTA,Hep-Par-1,CD11c,IRF4,CD20,EGFR,IDO-1,GranzymeB,MelanA,OX-40,Vimentin,Synaptophysin,CD117(c-kit),Na-K-ATPase,CD194,CD57,Pan-Cytokeratin,CD68,CD3,SMA,CD34,EpCAM,CollagenIV,CD45RO,Podoplanin,CD15,CD7,CD163,ChromograninA,CD31,CD123,MMP9,CD138,CD38,Hyaluronan
461,196.92325,584.09784,378.58316,3031.4546,874.71405,108.92476,20.32581,281.00677,77.256584,285.95184,451.29196,898.02106,11.702784,860.7427,322.68396,78.93078,609.71405,495.36343,1.1828443,581.3055,181.63431,3.9623778,1443.4447,571.085,81.988716,155.99774,199.1091,1.7772762,722.39276,171.45372,489.5305,1342.5658,893.9842,5236.395,22.078255,870.079,15.03085,1531.8608,232.86983,0.33333334,938.1106,1215.8254,129.28442,116.60045,952.0986,19.319036,3778.249,56.32205,1962.9022,3406.5833,303.51315,4.264108,39.50865,8322.657,78.325806,38.248306,1518.1234,2268.1348
462,251.93886,1065.9236,382.59827,2126.4575,1853.4585,85.10808,12.3744545,167.37009,15.568777,72.48144,273.1059,606.09827,13.851528,513.1779,118.9476,334.18887,678.51965,390.89084,0.31441048,50.08952,295.02292,2.1790392,970.119,497.2762,62.58515,145.04367,147.14957,5.4912663,502.8548,130.25328,1127.5612,1366.9684,727.6026,2335.523,7.1703057,253.59389,10.817685,1236.9498,140.49454,1.3646288,1197.059,365.0153,15.617904,148.49345,822.91815,13.902839,2480.917,27.444323,4540.892,2608.3525,428.00763,4.3875546,8.379912,4753.1016,194.31114,7.2008734,779.8428,1995.0426
463,968.00507,506.08954,182.11238,291.6197,586.7975,59.25714,20.786032,220.50793,571.5708,132.84381,323.94287,748.33527,10.420953,462.42285,113.4419,202.90666,447.4038,203.69333,2.3714285,72.351746,150.84634,2.446984,970.4692,409.57587,69.19492,96.37841,196.1454,0.52126986,454.9289,121.867935,228.5892,905.98987,1037.5175,2338.4343,11.730159,263.91367,5.7796826,643.0806,180.18857,0.45714286,602.193,260.38794,15.669841,1405.5092,787.1111,40.56508,2800.433,43.458412,2169.6184,1567.4216,778.17017,2.9726985,19.083174,6216.4604,19.48635,12.905396,1158.9377,2068.129
464,743.1131,520.32275,689.12067,274.0739,659.71344,90.52187,13.431373,186.33484,215.37859,392.77676,280.092,930.7979,11.28356,511.17798,117.208145,270.66214,1126.7406,356.51434,0.5927602,113.3635,157.55354,0.9758673,1828.0437,648.12067,39.840122,351.82352,304.3047,0.0,464.9834,165.43137,2502.7751,1499.537,642.175,6595.071,3.1840122,371.77527,4.4012065,876.91254,179.81749,0.0,2618.555,348.64554,7.840121,38.579185,656.4706,27.950226,3915.4163,34.993965,1419.6727,1393.902,1089.9487,0.44042233,99.86878,6169.905,3.3453996,10.538462,1835.4993,2411.5715
465,2455.3008,593.9813,476.01242,807.5439,759.4538,78.986015,11.057498,184.88579,111.08236,293.79797,313.69232,1183.8982,8.005439,517.4103,124.3582,189.72028,739.23773,344.1562,0.5780886,50.94794,167.87878,1.1577312,1666.8143,590.3955,75.497284,109.76068,262.17093,0.4024864,533.87177,154.17172,963.9627,1220.6768,656.65967,4034.9277,6.1965814,328.90286,7.4079256,999.71326,188.58974,0.12198912,1349.909,380.76923,5.738928,46.422688,790.24164,15.874903,3889.0955,35.068375,1964.1997,1894.1663,1546.0085,0.7754468,97.05051,7645.351,188.03651,20.164724,1780.8345,1560.5416
466,69.05525,307.21213,212.90791,68.1146,631.7926,70.33629,6.989086,123.11801,10.724421,9.275579,73.09209,815.65485,11.901773,121.9543,99.564804,17.741474,160.43657,175.0914,0.09618008,8.220327,172.75444,0.28376535,1112.4495,684.8288,21.144611,8.650068,141.78717,8.49045,104.96453,118.60505,0.9693042,710.97955,1334.4523,0.08049113,2.020464,222.40587,12.057299,1125.4694,152.9768,0.7264666,53.667805,221.07709,0.8308322,5.642565,560.00616,8.703274,389.4045,32.966576,201.68759,1154.7101,88.54229,0.62414736,18.664392,5901.7095,14.991815,10.809687,1193.1985,1488.3553
467,103.96331,802.2722,808.5479,1357.9373,1404.2758,93.184616,11.021302,157.71124,13.198816,34.039055,194.65916,663.3195,14.702958,468.61774,95.991714,47.107693,472.96567,190.871,1.3869822,42.631954,421.44733,2.5491123,742.6296,443.2071,70.427216,87.0071,208.56567,4.47929,326.71478,118.64616,432.18106,1269.0106,724.6225,9670.885,21.893492,433.69348,19.312426,897.8959,145.23077,2.1644971,1888.7882,290.0935,32.776333,71.19527,729.6272,21.881657,5182.728,30.957396,4165.149,2123.5881,190.71597,2.7218935,21.747929,4251.4663,64.64616,21.287575,751.1349,2838.2415
468,136.2915,550.2783,228.72548,387.00848,754.967,63.925472,8.257547,157.06604,72.37359,134.18962,192.11697,721.1236,10.163208,393.06793,125.73113,74.75661,583.8047,204.35567,0.19339623,79.55755,183.48491,0.043396227,1459.1774,741.68866,45.948112,183.26414,157.16698,2.8462265,343.96133,110.36415,381.2698,1257.149,827.2283,3954.5952,0.64245284,266.99435,6.466981,613.2094,160.55188,0.47830188,5729.502,354.92737,1.5339622,20.23868,854.5,9.104717,4635.5264,30.744339,1005.5283,2212.42,362.03302,0.09150943,6.748113,6893.2046,31.421698,5.84717,1676.8651,1638.4056
469,482.18655,4029.316,487.03482,516.51245,229.54974,37.410446,0.062189054,0.37064677,151.9204,2.278607,16.378109,651.13684,1.1616915,10.024876,28.97015,10.4925375,656.0398,142.39304,0.0,0.0099502485,80.45522,0.0,626.1866,431.79105,40.512436,0.8731343,58.24627,1.2189054,1.1666666,19.440298,1700.49,319.23633,920.93286,15131.391,0.0049751243,878.17163,0.75870645,9.151741,37.09204,0.0,14270.754,634.7662,0.0,0.0,834.84827,0.9900498,351.9975,2.676617,3507.6367,997.45276,11306.783,0.0,0.0,5773.6167,3.7587066,1.8532338,1295.883,414.3433
470,817.14746,571.2101,357.35455,466.9515,807.46564,77.239395,13.20606,200.70708,53.50404,115.03636,270.38586,583.24445,22.962626,506.001,116.10303,185.9404,451.9111,186.08383,0.7646465,24.478788,143.55151,1.7787879,698.2909,544.53937,118.734344,74.344444,179.19899,12.669697,377.0889,126.4101,432.18585,1132.2162,910.16565,556.7343,6.159596,248.78586,20.40909,295.03638,196.97778,2.6222222,968.8212,317.37476,8.211111,58.021214,1029.9384,21.568687,2578.9092,42.59192,1156.2767,2538.9788,807.6758,1.4323232,4.7727275,8244.375,25.853535,20.389898,1366.0879,1934.3616
471,207.85579,3215.343,329.8671,80.377945,256.03204,37.51932,2.3157399,53.74741,288.23468,49.431667,166.38454,305.85013,23.915174,274.705,73.24788,18.752121,165.39868,177.73233,0.63619226,14.278982,56.851086,0.5193214,111.14609,169.58907,10.381716,19.475023,77.18096,10.568332,200.81244,80.90481,347.5853,444.58908,686.1037,2809.5127,3.524034,182.51367,23.625824,249.44109,91.66164,1.5843544,4661.76,121.68614,3.120641,344.0839,598.5627,28.8492,1927.9369,32.11593,489.90103,923.29785,1916.229,0.68426013,45.261074,2697.7795,29.171535,22.630537,434.59378,1223.6512
472,84.6583,690.8533,824.6139,551.08496,650.4421,81.947876,4.9594593,288.87643,125.16409,25.519304,196.1641,994.40924,2.5907335,398.1332,118.58108,41.218147,467.38803,287.1776,0.13320464,78.53668,184.69305,0.6756757,1482.2124,511.2278,37.08494,55.631275,335.2915,0.0,378.5946,173.25676,684.4459,1178.8263,924.50775,7998.025,1.588803,801.2452,5.557915,842.0174,180.15443,0.0077220076,761.72974,392.0772,3.0907335,9149.459,536.41895,150.16795,2517.2239,36.905407,3385.4072,1340.3263,950.0502,0.6119691,1262.7683,5492.5366,7.2972975,6.2586875,1690.2664,1518.5096
473,289.278,894.59644,921.7489,2032.2197,2207.5762,103.09641,58.94843,191.55606,12.726458,223.41704,293.56055,673.574,22.123318,490.06503,101.25785,89.13004,533.1211,300.66367,3.2286994,64.67713,2863.2668,2.7533631,1057.601,1002.2377,86.42825,160.57848,231.79372,7.237668,376.93497,135.36995,538.8408,1235.1951,1164.583,7541.121,21.455156,700.8946,16.56278,1192.3363,170.78027,2.0426009,345.66592,349.01346,24.5,180.57623,856.8655,20.9574,3045.352,34.17937,6512.4014,2317.9373,245.03587,14.289238,26.939463,3968.4753,141.10313,17.67713,916.4798,2440.455
474,145.33643,1347.6311,427.28537,1318.5824,577.0626,78.17169,0.16705337,23.856148,16.36891,10.461717,78.86079,993.232,1.2320186,283.88864,90.090485,10.663573,450.01624,236.7355,0.0,2.7587006,210.28539,0.0,1236.9652,607.5963,11.75174,29.633411,118.42691,0.0,169.31555,80.512764,4197.095,1150.5894,1067.6357,843.6033,0.006960557,182.52205,0.63805103,79.17169,105.060326,0.0,364.5986,1112.2784,0.0,5.315545,969.4803,0.3573086,2726.0278,7.87239,6325.2275,3019.9768,1777.8817,0.0,0.0,6526.2344,4.533643,0.020881671,1264.2297,584.116
